First Name,Last Name,Street,City,Zip,State,Country
Hollee,Barry,"P.O. Box 349, 9518 Odio. St.",Istanbul,UY1X 1GC,Ist,Martinique
Walker,Daniels,812-9777 Ut Ave,Contagem,9220SM,Minas Gerais,France
Samson,Hobbs,Ap #429-7922 Venenatis St.,Dandenong,49270,VIC,Canada
Leonard,Oneill,428-8370 Aliquam Ave,Olympia,8629,WA,Costa Rica
Fritz,Vincent,"4307 Mi, Avenue",Berlin,07316,Berlin,Gibraltar
Nelle,Hubbard,Ap #129-3192 Arcu St.,Istanbul,2177,Ist,Belgium
Raymond,Williams,Ap #774-9496 Per St.,Ravenstein,11161,Noord Brabant,Albania
Octavius,Briggs,"Ap #340-8542 Risus, Road",Warszawa,36047,MA,Benin
Deirdre,Mccray,"P.O. Box 106, 3312 Donec Rd.",Pellezzano,11015,CAM,Colombia
Cheryl,Cooke,"P.O. Box 313, 1042 Vitae Road",Motueka,7319,South Island,United States
Adria,Horn,Ap #741-3708 Iaculis Road,Faridabad,92207,HR,"Virgin Islands, United States"
Adrian,Benjamin,"P.O. Box 777, 3028 Auctor Avenue",Dublin,84680,L,Libya
Aline,Higgins,"P.O. Box 435, 7636 Felis. St.",Tacoma,10443-442,Washington,Bangladesh
Reese,Haynes,707-1240 Gravida. Street,Lleida,62219,CA,South Sudan
Carissa,Beasley,Ap #753-2895 Quisque Road,Bremen,51715,HB,Oman
Steel,Cooke,917-3809 Orci Avenue,Develi,30514,Kay,Armenia
Hillary,Daugherty,"P.O. Box 512, 4810 Cursus, Street",Galway,2275,Connacht,Nauru
India,Macias,902-6324 Consequat Street,Uberlândia,31904,MG,Zambia
Tatiana,Barr,1315 At Ave,Frederick,38645,MD,Antarctica
Patricia,Ayers,810-8778 Vivamus Street,Ribeirão Preto,34740,SP,"Virgin Islands, United States"
Inga,Holt,"P.O. Box 114, 4656 Montes, St.",Markkleeberg,73406,SN,Haiti
Iliana,Haynes,3138 Aliquam Av.,Toledo,2160,CM,Spain
Leroy,Alston,969-3481 Commodo Rd.,Tulita,5895,NT,Saint Martin
Chantale,Hansen,"P.O. Box 239, 5797 Dis Rd.",Kano,9590,KN,Togo
Leo,Vaughan,"162-1107 Facilisis, Rd.",Sandy,6721,Utah,Martinique
Judith,Figueroa,"P.O. Box 761, 2719 Maecenas Rd.",Cork,954329,Munster,Bhutan
